id “œ-“œ;π “œ ÓÚ;π “œ ‰Ó;–‡ÒÒÚÓˇÌËÂ
1;1111;1111;0
2;1111;2222;477
3;1111;3333;559
4;2222;1111;477
5;2222;2222;0
6;2222;3333;946
7;3333;1111;559
8;3333;2222;946
9;3333;3333;0
10;4444;1111;275
11;4444;2222;234
12;4444;3333;744
13;48;1111;399
14;48;2222;786
15;48;3333;368
16;489;1111;363
17;489;2222;750
18;489;3333;276
19;7777;1111;201
20;7777;2222;588
21;7777;3333;418
22;8888;1111;161
23;8888;2222;548
24;8888;3333;630
25;322;1111;259
26;322;2222;218
27;322;3333;728
28;9999;1111;199
29;9999;2222;78
30;9999;3333;868
31;11111111;1111;295
32;11111111;2222;682
33;11111111;3333;264
34;587;1111;45
35;587;2222;432
36;587;3333;514
37;13131313;1111;171
38;13131313;2222;588
39;13131313;3333;388
40;642;1111;323
41;642;2222;710
42;642;3333;236
43;1;109;2093
44;1;110;9873
45;1;111;9882
46;1;112;1973
47;1;113;1976
48;1;114;765
49;1;115;973
50;1;116;1140
51;1;117;763
52;1;118;1626
53;1;119;758
54;1;120;2013
55;2;109;1581
56;2;110;9010
57;2;111;9019
58;2;112;1710
59;2;113;1713
60;2;114;254
61;2;115;533
62;2;116;152
63;2;117;289
64;2;118;1051
65;2;119;253
66;2;120;1818
67;3;109;1064
68;3;110;7235
69;3;111;7244
70;3;112;1542
71;3;113;1539
72;3;114;2062
73;3;115;1765
74;3;116;1849
75;3;117;2091
76;3;118;1038
77;3;119;2055
78;3;120;1801
79;4;109;1687
80;4;110;8990
81;4;111;8999
82;4;112;1944
83;4;113;1947
84;4;114;530
85;4;115;797
86;4;116;297
87;4;117;565
88;4;118;1157
89;4;119;529
90;4;120;2082
91;5;109;1365
92;5;110;7327
93;5;111;7336
94;5;112;1843
95;5;113;1840
96;5;114;1953
97;5;115;1780
98;5;116;1712
99;5;117;1982
100;5;118;1132
101;5;119;1946
102;5;120;2102
103;6;109;1917
104;6;110;9697
105;6;111;9706
106;6;112;1881
107;6;113;1884
108;6;114;589
109;6;115;797
110;6;116;964
111;6;117;587
112;6;118;1450
113;6;119;582
114;6;120;1921
115;7;109;1901
116;7;110;8193
117;7;111;8202
118;7;112;2163
119;7;113;2166
120;7;114;1269
121;7;115;1462
122;7;116;907
123;7;117;1304
124;7;118;1371
125;7;119;1268
126;7;120;2310
127;8;109;2904
128;8;110;9612
129;8;111;9621
130;8;112;3161
131;8;113;3164
132;8;114;1747
133;8;115;2014
134;8;116;1514
135;8;117;1782
136;8;118;2374
137;8;119;1746
138;8;120;3299
139;9;109;3707
140;9;110;6196
141;9;111;6205
142;9;112;4185
143;9;113;4182
144;9;114;4512
145;9;115;4339
146;9;116;4182
147;9;117;4541
148;9;118;3812
149;9;119;4505
150;9;120;4444
151;10;109;1585
152;10;110;6694
153;10;111;6703
154;10;112;2063
155;10;113;2060
156;10;114;2804
157;10;115;2507
158;10;116;2591
159;10;117;2833
160;10;118;1780
161;10;119;2797
162;10;120;2322
163;11;109;384
164;11;110;8341
165;11;111;8350
166;11;112;736
167;11;113;739
168;11;114;1265
169;11;115;810
170;11;116;1133
171;11;117;1237
172;11;118;146
173;11;119;1201
174;11;120;883
175;12;109;2996
176;12;110;9822
177;12;111;9297
178;12;112;3258
179;12;113;32661
180;12;114;1864
181;12;115;2131
182;12;116;1631
183;12;117;1899
184;12;118;2466
185;12;119;1863
186;12;120;3405
187;13;109;3924
188;13;110;6753
189;13;111;6762
190;13;112;4402
191;13;113;4399
192;13;114;4277
193;13;115;4208
194;13;116;3915
195;13;117;4312
196;13;118;3897
197;13;119;4276
198;13;120;4661
199;14;109;3181
200;14;110;5288
201;14;111;5297
202;14;112;3659
203;14;113;3656
204;14;114;4189
205;14;115;4016
206;14;116;3947
207;14;117;4218
208;14;118;3303
209;14;119;4182
210;14;120;3918
211;15;109;1948
212;15;110;9240
213;15;111;9249
214;15;112;3210
215;15;113;3213
216;15;114;1816
217;15;115;2083
218;15;116;1583
219;15;117;1851
220;15;118;2418
221;15;119;1815
222;15;120;3357
223;16;109;4138
224;16;110;8221
225;16;111;8230
226;16;112;4523
227;16;113;4526
228;16;114;3961
229;16;115;4026
230;16;116;3599
231;16;117;3996
232;16;118;3715
233;16;119;3960
234;16;120;4670
235;17;109;1500
236;17;110;9418
237;17;111;9427
238;17;112;1045
239;17;113;1048
240;17;114;1311
241;17;115;835
242;17;116;1402
243;17;117;1153
244;17;118;1145
245;17;119;1208
246;17;120;1059
247;18;109;1650
248;18;110;9456
249;18;111;9465
250;18;112;1438
251;18;113;1441
252;18;114;702
253;18;115;530
254;18;116;967
255;18;117;544
256;18;118;1183
257;18;119;599
258;18;120;1478
259;19;109;3271
260;19;110;4880
261;19;111;4889
262;19;112;3749
263;19;113;3746
264;19;114;4279
265;19;115;4106
266;19;116;4038
267;19;117;4308
268;19;118;3393
269;19;119;4272
270;19;120;4008
271;20;109;1739
272;20;110;9306
273;20;111;9315
274;20;112;1749
275;20;113;1752
276;20;114;161
277;20;115;609
278;20;116;541
279;20;117;159
280;20;118;1209
281;20;119;154
282;20;120;1789
283;21;109;1492
284;21;110;6668
285;21;111;6677
286;21;112;1970
287;21;113;1967
288;21;114;2638
289;21;115;2341
290;21;116;2425
291;21;117;2667
292;21;118;1614
293;21;119;2631
294;21;120;2229
295;22;109;1093
296;22;110;8899
297;22;111;8903
298;22;112;1094
299;22;113;1097
300;22;114;608
301;22;115;153
302;22;116;620
303;22;117;580
304;22;118;626
305;22;119;544
306;22;120;1241
307;23;109;697
308;23;110;7911
309;23;111;7920
310;23;112;1135
311;23;113;1132
312;23;114;1481
313;23;115;1089
314;23;116;1349
315;23;117;1453
316;23;118;362
317;23;119;1417
318;23;120;1313
319;24;109;1954
320;24;110;9104
321;24;111;9113
322;24;112;2211
323;24;113;2214
324;24;114;797
325;24;115;1064
326;24;116;564
327;24;117;832
328;24;118;1424
329;24;119;796
330;24;120;2349
331;25;109;3356
332;25;110;5091
333;25;111;5100
334;25;112;3834
335;25;113;3831
336;25;114;4364
337;25;115;4191
338;25;116;4123
339;25;117;4393
340;25;118;3478
341;25;119;4357
342;25;120;4093
343;26;109;3359
344;26;110;5088
345;26;111;5097
346;26;112;3837
347;26;113;3834
348;26;114;4367
349;26;115;4194
350;26;116;4126
351;26;117;4396
352;26;118;3481
353;26;119;4360
354;26;120;4096
355;27;109;638
356;27;110;8964
357;27;111;8703
358;27;112;1116
359;27;113;1113
360;27;114;2287
361;27;115;1832
362;27;116;2155
363;27;117;2259
364;27;118;1168
365;27;119;2223
366;27;120;1325
367;28;109;2061
368;28;110;9841
369;28;111;9850
370;28;112;2021
371;28;113;2024
372;28;114;733
373;28;115;941
374;28;116;1108
375;28;117;731
376;28;118;1594
377;28;119;726
378;28;120;2061
379;29;109;3495
380;29;110;7578
381;29;111;7587
382;29;112;3880
383;29;113;3883
384;29;114;3452
385;29;115;3383
386;29;116;3090
387;29;117;3487
388;29;118;3072
389;29;119;3451
390;29;120;4027
391;30;109;3193
392;30;110;9483
393;30;111;9492
394;30;112;3453
395;30;113;3456
396;30;114;2059
397;30;115;2326
398;30;116;1826
399;30;117;2094
400;30;118;2661
401;30;119;2058
402;30;120;3600
403;31;109;1207
404;31;110;8072
405;31;111;8081
406;31;112;1469
407;31;113;1472
408;31;114;1145
409;31;115;972
410;31;116;932
411;31;117;1174
412;31;118;677
413;31;119;1138
414;31;120;1616
415;32;109;3589
416;32;110;4562
417;32;111;4571
418;32;112;4067
419;32;113;4064
420;32;114;4597
421;32;115;4424
422;32;116;4356
423;32;117;4626
424;32;118;3711
425;32;119;4590
426;32;120;4326
427;33;109;4280
428;33;110;9050
429;33;111;9059
430;33;112;4542
431;33;113;4545
432;33;114;3648
433;33;115;3841
434;33;116;3286
435;33;117;3683
436;33;118;3750
437;33;119;3647
438;33;120;4689
439;34;109;1620
440;34;110;9187
441;34;111;9196
442;34;112;1673
443;34;113;1676
444;34;114;142
445;34;115;490
446;34;116;422
447;34;117;16
448;34;118;1090
449;34;119;39
450;34;120;1775
451;35;109;1647
452;35;110;9693
453;35;111;9702
454;35;112;1169
455;35;113;14172
456;35;114;1670
457;35;115;1174
458;35;116;1741
459;35;117;1559
460;35;118;1440
461;35;119;1593
462;35;120;1183
463;36;109;2892
464;36;110;9184
465;36;111;9193
466;36;112;3154
467;36;113;3157
468;36;114;1760
469;36;115;2027
470;36;116;1527
471;36;117;1795
472;36;118;2362
473;36;119;1792
474;36;120;3301
475;37;109;2879
476;37;110;9171
477;37;111;9180
478;37;112;3141
479;37;113;3144
480;37;114;1747
481;37;115;2014
482;37;116;1514
483;37;117;1782
484;37;118;2349
485;37;119;1746
486;37;120;3288
487;38;109;1123
488;38;110;8231
489;38;111;8240
490;38;112;1385
491;38;113;1388
492;38;114;928
493;38;115;827
494;38;116;715
495;38;117;957
496;38;118;593
497;38;119;921
498;38;120;1532
499;39;109;6950
500;39;110;1201
501;39;111;1210
502;39;112;7428
503;39;113;7425
504;39;114;7958
505;39;115;7785
506;39;116;7717
507;39;117;7987
508;39;118;7072
509;39;119;7951
510;39;120;7687
511;40;109;1432
512;40;110;9290
513;40;111;9299
514;40;112;1030
515;40;113;1033
516;40;114;1175
517;40;115;699
518;40;116;1266
519;40;117;1017
520;40;118;1017
521;40;119;1072
522;40;120;1044
